SW Level,PW Level,Inliers,Homography Det,SVD
14,77,41,0.0136558507503,538300
14,123,66,0.00439376376856,973989
15,25,48,0.308900043894,205582
15,21,39,0.010066217902,2208641
15,133,59,0.00512530044706,759739
15,130,58,0.00271325236462,67714
15,143,69,0.00619304671501,777851
16,4,38,0.00932273491393,370345
16,11,60,0.00811346800096,432145
16,19,43,0.0112092800618,202378
16,76,40,0.453472587406,360584
16,124,50,0.0174630273248,119964
16,98,41,2.00085986021,85208
16,134,58,0.00507205009654,86619
16,153,51,0.242170199615,595607
17,3,49,0.00805784952977,607266
17,5,36,0.00714274121566,947653
17,36,62,0.0109916952073,114267
17,9,40,0.252265599235,56598
17,37,38,0.00624489821045,491194
17,30,50,0.00414728596798,325382
17,60,65,0.00213390349858,592277
17,52,34,0.00453000600906,818993
17,89,49,0.00406409080674,237339
17,66,44,397.661394597,136333
17,76,27,0.338741037895,633937
17,100,36,0.00845002548968,173657
17,87,34,0.596070001069,48425
17,93,33,3.41140724281,418245
17,104,55,0.00879835970401,154519
17,120,61,0.01044605226,76804
17,136,48,0.082946897073,38179
17,137,41,0.00553133246491,183901
17,149,39,0.00401690726976,423605
18,5,85,0.0106350445,76720
18,26,60,0.00509461841071,713953
18,53,116,0.0862761315624,126670
18,74,44,0.0137044880169,22295
18,100,101,0.0139485137026,939210
18,88,70,0.0212058636646,256178
18,111,109,0.0698491349936,423349
18,103,100,0.0649242073155,33583
18,98,100,0.00667827362274,149331
19,9,77,0.0312553519309,16373
19,40,124,0.0463108360381,37624
19,41,55,0.0352819373357,15059
19,49,58,0.444846665219,787492
19,78,64,0.0258249898428,795684
19,53,103,0.0106514427468,199377
19,81,68,0.398366838252,237382
19,145,128,0.00740423138744,588487
19,137,93,0.0563476628472,182896
19,143,110,0.0348222152314,307900
20,15,92,0.0156090228846,401178
20,26,49,0.0301971536345,90162
20,28,152,0.00216836611015,629842
20,42,69,0.00773399217031,377436
20,82,77,0.0222640324772,1369927
20,98,43,0.0135324600607,318375
20,139,79,143.437234793,38748
20,140,106,58.3109447504,33091
21,29,90,0.00802988558757,547847
21,42,72,0.00738868987685,886860
21,62,64,0.0117475585696,145973
21,54,115,0.0048201663914,96594
21,72,74,0.0050647488468,900603
21,93,70,0.00199495161709,512820
21,112,88,0.00469417195727,379023
21,121,65,0.0673501714231,440569
21,142,69,0.0137833113905,47351
22,35,93,0.0046373590615,338523
22,39,150,2.8171695103,148264
22,51,69,0.00174304278677,1004468
22,55,92,0.321386448588,582224
22,76,50,0.213166987317,345794
22,102,73,0.0034076000078,413545
22,128,85,0.00226483610623,536418
22,119,105,0.00249696400169,303367
22,129,93,0.00774687059692,180473
22,130,89,0.00169906737791,320435
22,121,96,0.0274849599169,1765191
22,160,88,0.0583372545865,12819
23,4,66,0.0499893135382,13026
23,21,74,0.00339575586387,2019334
23,42,68,0.00327677093632,424227
23,53,73,0.00212866160465,620413
23,75,54,0.508961119905,564271
23,92,61,0.00151569715565,4407605
23,88,83,0.00339224402321,654368
23,122,79,1.26722904406,14147
23,98,43,158.475085461,62136
23,145,92,0.00138882982336,707638
23,160,61,0.044143430809,347589
24,34,111,9.01507717017,69918
24,4,49,0.0699442805778,266410
24,15,67,0.134504764985,181174
24,27,74,0.00686564125745,898931
24,67,64,0.0506355182695,393859
24,51,51,0.100611132351,274499
24,84,64,0.0405461057683,267209
24,96,45,0.317348061935,86937
24,134,70,0.00208014726359,330079
24,138,85,0.0501898017862,38227
24,150,61,0.00596268841384,52581
25,4,55,0.866665529153,26189
25,24,48,0.367984677567,101727
25,29,59,0.0827802829287,114199
25,46,44,0.24565677444,417007
25,22,74,0.00246874826633,1857046
25,48,44,0.100188193268,341902
25,57,65,0.253393122792,312426
25,58,42,0.0142856140787,102276
25,62,75,1.0567904596,46867
25,104,66,0.0216751788823,121395
