S Level,PW Level,Inliers,Homography Det,SVD
54,54,721,1,1
56,54,106,2.049332119,2563
62,54,71,1.017879234,26
70,54,44,1.038915318,11
27,55,53,1.851082536,3082
38,55,39,20611.95752,61897
55,55,2569,1,1
3,56,37,18.00223231,74382
56,56,637,1,1
22,57,106,0.63356042,6376
57,57,4147,1,1
59,57,723,1.076284215,10
61,57,376,1.224805666,112
65,57,144,4.999263922,6959
67,57,100,12.66568586,10030
73,57,103,1.779194512,457
2,58,38,10.51803487,12389
8,58,70,36.29514158,8899
18,58,47,1.424904223,1132
20,58,73,1.852491391,1316
24,58,59,4.420014055,7038
40,58,54,1.109659065,60
42,58,35,1.415921803,2358
46,58,59,1.264084154,271
48,58,86,1.002161659,48
58,58,956,1,1
60,58,150,1.202853271,45
62,58,116,1.337557102,71
66,58,86,1.313466242,349
15,59,48,452.6640641,19590
23,59,48,54.78061399,7453
31,59,55,1.67177524,8830
39,59,53,0.691277949,4077
50,59,43,2344.079844,29746
57,59,561,0.927877971,10
59,59,2145,1,1
61,59,522,1.22136898,162
71,59,41,7.887603075,11748
4,60,44,4.837593977,25047
26,60,40,0.756269881,31
36,60,39,2.820227999,1351
40,60,32,1.121582582,753
46,60,53,1.141385293,956
48,60,60,1.489315847,591
60,60,875,1,1
61,61,3456,1,1
73,61,94,10.68379388,14411
18,62,46,1.258076955,1212
38,62,48,1.082178373,10
43,62,27,22.02624311,8933
52,62,86,7.204692601,4264
55,62,26,43.63941128,33791
62,62,1257,1,1
68,62,59,0.912269785,337
9,63,32,1.714943375,40663
30,63,32,8.879820734,7002
49,63,43,10.29677465,4053
50,63,48,1.440396006,1151
53,63,69,2.810212597,1779
63,63,2300,1,1
65,63,450,1.024229632,154
67,63,203,1.371772716,624
71,63,47,6.012016016,2732
73,63,37,644.0536592,29656
4,64,40,5.125969555,48058
18,64,51,9.598200218,4134
26,64,46,199.4597563,13831
40,64,62,0.864926293,70
42,64,52,1.693380063,718
46,64,61,4.984892355,3438
48,64,50,2.945342235,2554
54,64,60,1.380261541,664
55,64,34,4.182351709,2673
58,64,80,0.919550278,140
62,64,202,1.232618001,13
64,64,1777,1,1
68,64,125,1.088736465,202
69,64,65,0.734992381,8132
70,64,85,1.185016099,515
72,64,77,1.51238709,488
15,65,53,48.47680573,5713
19,65,48,12.54925484,9098
22,65,82,6.054901101,36241
44,65,51,17.0508965,4541
65,65,3373,1,1
66,65,60,96.68955668,8054
67,65,612,1.065673737,111
73,65,79,2.116395191,1077
20,66,46,2.724132446,1937
23,66,46,9.222367646,40482
27,66,35,32.11633886,8569
41,66,32,5444.120862,29651
42,66,49,1.774106587,1459
48,66,78,1.458708414,813
50,66,63,0.847915791,192
66,66,2217,1,1
68,66,227,1.060693742,4
70,66,105,1.137439097,336
21,67,63,2.339852035,1688
49,67,57,2.12216326,45649
59,67,120,0.641750452,2896
65,67,657,0.884950268,167
67,67,3211,1,1
73,67,87,1.029391937,105
9,68,35,12.81096632,5007
11,68,25,7.20298929,14724
40,68,36,1.141858431,114
44,68,42,1.696327211,368
46,68,41,1.617625881,508
51,68,23,0.176282195,121826
62,68,64,1.719421477,411
63,68,28,3.511752008,986
64,68,118,0.856678352,206
66,68,204,0.991032932,11
68,68,1199,1,1
69,68,162,1.031980312,19
70,68,130,1.129908312,98
13,69,55,5.566000929,1382
36,69,33,2.133682409,676
51,69,32,5.729751255,38915
52,69,46,5.082271387,2778
62,69,67,1.737756387,502
63,69,42,1.716134722,773
68,69,178,1.153326448,9
69,69,1542,1,1
42,70,42,1.119653608,384
70,70,1683,1,1
59,71,78,4.287318635,6892
67,71,92,1.048981959,194
71,71,3300,1,1
16,72,69,2.937920347,23401
18,72,62,2.583998169,1932
20,72,79,442.8932015,9130
25,72,33,60.10805238,26468
45,72,52,1.181828963,647
72,72,2176,1,1
49,73,67,1.258589773,1257
63,73,61,2.72906502,44441
64,73,52,4.243385569,83942
73,73,2695,1,1
48,74,60,1.857779087,1305
72,74,162,0.905872933,25
17,75,73,11.61643308,7138
39,75,53,44.94549277,64248
67,75,113,2.293328291,1087
15,76,81,2.164136721,894
21,76,73,24.33598079,8612
25,76,70,0.392967284,132654
31,76,75,1744.394179,17781
53,76,57,3.048360525,2438
55,76,77,4.059152486,20319
57,76,68,3.265348465,3207
73,76,304,1.095789933,75
1,77,35,1.381079753,5197
21,77,47,3.26895385,3214
29,77,57,1.443300302,1485
49,77,36,0.943799685,353
71,77,78,1.857485977,1098
73,77,132,1.18916197,18
3,78,48,1.292473994,46637
11,78,52,32.68364498,7510
16,78,64,2.372729507,1443
44,78,66,52.15813002,4042
59,78,39,387.6877805,5670
62,78,69,1.712951727,49
7,79,30,3.854059548,36557
66,79,41,72.41710448,26503
71,79,102,12.86489016,7114
19,80,36,19.64129816,13916
38,80,51,1.318582857,310
40,80,55,156.2660428,9002
43,80,39,2.365771591,4469
45,80,40,6.267095424,18276
21,81,66,3.864492153,5681
42,81,49,29.68908814,11212
51,81,52,1.774147984,1622
56,81,74,133.3670523,63901
67,81,48,4.813143638,76907
2,82,30,3.858347428,4754
11,82,57,1.261038306,11
36,82,39,6.76725994,2090
54,82,62,51.91971135,1683
62,82,52,2.608760002,1598
31,83,49,3.549198404,9297
26,84,32,0.938797539,372
35,84,31,0.942087618,573
19,85,40,96.20009554,28974
61,85,69,1.716928162,2577
65,85,50,7.787317497,98497
71,85,55,3.780835423,4021
1,86,39,28.99499581,37141
50,86,63,0.753439474,555
70,86,52,1.88462075,191
11,87,96,14.31643295,4110
20,87,44,3.135787359,72985
12,88,60,375.1565565,77057
13,88,50,0.390291414,6656
19,88,29,34.54438644,9913
26,88,36,4.578784257,3970
46,88,46,13.35122926,7961
21,89,64,26.13184518,7789
34,89,72,0.333878783,79694
49,89,62,41.54718918,5475
57,89,56,1.876090971,337
65,89,69,1.099669763,160
67,89,57,1.358878249,75
73,89,76,7.611499433,1525
36,90,42,2.109666504,758
62,90,60,1.633851555,113
65,90,63,6.498010551,2409
15,91,108,7.055052035,58897
21,91,76,9.470283361,6320
31,91,45,0.755327723,52862
28,92,50,215.9283899,18152
44,92,44,2.45542301,1183
47,92,30,1.161940553,92410
71,92,28,3.23602633,103470
53,93,61,3404.065569,17848
61,93,50,105900.3528,19729
72,93,34,3.846758188,16629
73,93,78,15.29751278,7895
42,94,27,3.101014873,2319
66,94,42,53.14033408,11122
11,95,78,36.59104867,4075
21,95,67,1.479392577,6159
67,95,55,2594.362116,7676
73,95,59,77.14753106,7414
6,96,28,22.83152516,7987
11,96,51,19.86835462,7481
16,96,50,43.73925987,13017
18,96,49,3.044909835,2716
28,96,46,3.495597389,9824
43,96,29,3.804204836,15829
62,96,52,1.97228503,264
64,96,28,18.00206161,8304
66,96,43,2.028923252,821
70,96,49,2.273327662,18554
72,96,38,29.17124612,20578
11,97,44,4.118630983,7794
67,97,42,22.89690886,28534
73,97,60,30.00317895,47333
28,98,48,14.74657727,18902
2,99,43,70.24254765,21744
25,99,42,1040.612686,16018
27,99,32,25.41284411,12917
62,99,43,6.821999045,10039
5,100,56,34.92078593,60483
16,100,51,37.73964036,11477
53,100,44,144.3128656,2955
64,100,48,6.248065156,8714
66,100,79,1.852151119,2353
28,101,40,44.30594215,69624
8,102,43,0.836627424,99078
16,102,27,11.77922995,5514
25,102,27,8.275822219,16801
72,102,45,0.948855567,1065
73,102,28,24.56891468,64443
20,103,29,49.99645243,8115
43,103,38,18.4439805,21710
17,104,24,0.854529345,91536
18,106,29,1751.295278,19205
46,106,50,0.59504696,47319
61,106,38,201.61772,36567
65,106,29,29.29636736,5331
69,106,42,80.62322725,9814
27,107,31,8.651705571,16900
49,107,30,569.5886083,20103
3,108,37,18.7173438,18113
6,109,28,99.06295853,9558
29,110,41,12.78051338,66399
36,110,33,34.31226337,2704
48,110,34,83.7303203,54741
73,112,50,6.756719085,29101
3,114,86,30.46451739,26265
65,114,64,62.84939502,9770
35,116,69,41.23597276,13093
38,116,75,2.208910893,52972
2,117,30,1.368602061,30867
34,120,31,6201.432102,24191
62,121,47,2.226117547,74081
72,121,38,2.793152841,176231
29,124,64,6.123857187,32517
37,124,48,9261.753013,7519
43,125,32,2.209401115,2863
23,126,71,0.474496119,125235
15,128,64,1.580282295,31825
37,128,50,4.438599342,416
39,128,59,2.23778395,45809
2,129,32,57.04360416,26418
37,131,38,1.017512718,64008
45,131,40,6.300410663,346
27,133,36,5.651756639,44694
45,133,34,2.007973135,58864
57,134,60,204.9906332,19999
18,135,41,31.29757745,7843
20,135,52,30.80852689,78228
31,136,50,26.79888651,27203
53,136,60,252.3336221,16254
57,136,56,6534.559697,23913
62,136,72,7.751206863,49963
41,137,56,33.4835253,18328
53,137,49,3.114533239,93649
25,138,99,21.14033907,40401
8,139,48,1.390397558,88325
36,139,72,6.121640613,27565
51,139,36,1.775557931,34560
3,140,53,0.205827676,262445
17,140,62,20.77815216,26972
71,140,73,37.56905333,9319
17,141,54,79.49498926,10593
36,141,59,3.178575297,45397
58,141,31,7786.639105,13636
62,141,42,17.28328118,12452
5,144,33,115.8697118,30799
65,145,34,1.774701542,90808
27,148,60,0.238849476,19856
57,148,52,0.679230549,23430
72,148,50,46.63678173,5944
15,149,40,16.64986111,10477
19,151,57,1.940661571,11002
38,151,52,6.489315229,9685
57,151,44,31551645.33,41861
19,153,57,14.19536858,10304
