0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
28,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,4,0,2,0,0,5,1,0,4,8,24,33,31,24,32,37,17,12,20,8,11,7,12,4,3,6,8,13,11,10,3,0,1,1,2,3,1,0,9,0,5,8,2,6,2,7,4,2,2,8,14,14,9,8,9,0,8,2,0,0,1,0,4,0,0
29,0,0,0,0,0,1,0,0,2,6,1,5,5,0,0,2,1,0,0,2,6,5,2,0,4,5,2,0,4,7,12,39,39,31,36,40,24,29,26,9,25,10,18,13,11,9,8,9,6,8,12,4,1,5,5,4,4,0,11,0,1,5,1,4,0,5,5,1,2,8,13,13,4,5,5,2,4,0,1,0,1,2,2,1,0
30,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,2,0,0,0,3,10,3,5,0,5,4,6,2,5,13,18,45,53,57,68,60,47,42,45,14,43,26,29,26,9,7,7,11,11,9,7,0,1,1,1,3,0,0,17,4,8,8,5,8,3,16,12,3,3,8,10,17,11,9,23,7,10,3,1,0,4,0,4,0,0
31,1,0,0,0,0,2,2,1,1,1,0,0,2,1,0,3,0,0,0,5,6,7,2,3,5,7,5,0,0,5,6,15,20,32,39,37,39,21,29,21,28,21,28,28,10,5,5,6,8,12,8,3,3,0,1,0,0,3,19,1,2,0,5,4,5,5,2,0,1,13,8,12,10,4,16,4,0,0,1,0,0,2,1,0,0
32,0,1,0,0,0,2,2,1,0,3,0,2,1,1,0,3,0,0,0,3,5,5,0,3,3,8,2,3,1,1,11,15,19,24,38,39,50,39,38,23,32,21,24,20,13,14,8,13,11,8,8,1,6,3,6,3,1,2,12,8,2,3,9,3,3,9,4,0,5,10,11,20,13,4,23,3,4,0,0,0,1,3,1,0,0
33,0,0,0,0,0,3,3,2,1,7,1,2,2,0,0,3,0,0,0,1,9,3,2,5,5,3,4,0,5,11,9,14,17,11,28,38,39,33,50,26,31,19,25,21,12,23,12,10,18,16,11,4,8,1,2,2,1,1,22,2,0,5,10,10,5,11,6,4,3,8,11,27,26,7,21,6,8,3,0,0,2,3,1,0,0
34,0,3,2,1,0,2,6,2,3,13,1,2,6,0,1,4,0,1,0,2,3,3,0,3,2,7,2,3,2,16,16,29,20,14,30,35,37,51,75,83,99,74,83,63,42,34,21,11,15,14,6,2,5,2,5,1,2,5,20,9,8,1,11,12,5,14,5,5,11,28,18,31,28,13,38,5,4,3,0,0,2,11,2,0,1
35,2,2,1,1,0,3,3,2,1,11,1,5,4,1,0,2,0,5,0,2,1,3,3,4,1,0,1,4,2,2,10,8,7,3,12,16,23,22,47,67,78,77,83,47,38,32,20,14,15,7,6,1,6,11,8,6,2,2,14,15,13,2,13,16,14,21,10,2,14,26,17,29,27,23,43,11,4,1,0,0,1,9,1,0,0
36,2,0,0,0,4,2,3,4,4,8,0,3,7,1,0,3,0,0,0,1,1,7,0,6,1,4,3,3,2,10,5,10,7,9,16,20,20,22,30,19,48,79,82,64,44,37,24,8,12,7,9,2,11,9,17,5,2,2,3,12,6,18,18,15,15,9,6,1,20,36,18,20,22,8,28,2,0,0,0,0,8,9,1,0,0
37,1,0,0,1,2,2,2,0,0,9,0,2,0,0,1,2,0,1,2,1,1,0,0,1,1,1,3,0,0,2,3,2,4,7,8,8,11,12,21,21,51,81,92,73,56,45,30,9,7,1,4,1,9,7,12,3,7,1,8,15,12,21,17,13,16,15,4,0,24,34,19,13,34,22,28,4,1,2,3,0,6,15,0,0,0
38,0,0,0,1,0,5,3,4,7,8,0,5,7,3,0,4,0,2,1,0,2,0,1,7,2,3,2,2,1,8,3,1,2,2,5,12,18,15,22,20,34,67,73,101,78,55,21,14,11,5,5,3,4,4,6,1,3,0,12,18,13,19,6,4,20,5,2,2,34,53,22,14,13,13,17,5,3,3,1,1,9,19,2,0,0
39,3,0,0,3,2,4,1,1,3,6,2,4,2,0,0,2,0,0,0,0,2,0,0,1,2,1,2,0,1,5,1,2,1,0,1,2,7,7,10,13,25,43,52,72,71,51,40,24,12,5,5,0,11,3,12,2,5,2,2,5,15,21,18,9,8,6,1,1,21,36,12,7,15,19,13,2,0,1,2,0,4,13,0,1,0
40,0,0,0,0,0,6,3,4,2,4,1,2,5,1,0,4,0,0,0,0,1,1,0,3,2,4,4,3,1,6,5,8,3,2,4,7,9,4,8,6,14,12,6,10,13,24,20,26,18,12,12,4,5,3,5,2,4,0,6,0,2,1,0,1,11,3,1,1,6,8,2,11,9,6,5,1,3,3,1,2,0,3,0,0,0
41,0,0,0,0,0,0,1,0,1,8,0,2,1,2,0,2,0,1,0,1,2,0,1,2,0,0,2,1,0,2,3,3,1,0,0,1,2,1,2,0,2,4,1,1,0,3,2,3,3,3,2,1,2,2,2,1,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
42,0,0,0,0,0,7,6,2,4,4,0,5,5,1,0,4,0,0,0,0,3,0,0,5,0,2,2,2,1,8,5,7,3,1,2,9,9,10,11,5,3,4,1,2,2,4,7,10,10,11,14,7,4,2,3,7,1,1,3,1,2,0,0,3,5,4,4,2,2,10,7,7,3,2,0,0,0,0,0,0,0,0,0,0,0
43,1,0,0,0,0,1,2,0,1,6,1,2,2,1,0,2,0,0,0,0,1,0,0,2,0,2,1,2,1,5,6,6,5,0,2,7,5,4,8,7,4,3,1,1,2,5,5,5,6,4,15,6,2,2,4,1,1,0,2,0,1,1,0,0,1,0,0,0,0,9,7,4,5,1,1,0,0,1,0,0,0,1,0,0,0
44,0,0,0,0,0,7,3,2,3,5,3,2,6,1,0,5,0,1,0,1,1,0,1,4,0,2,0,4,3,2,2,7,0,0,3,5,3,3,7,1,3,3,3,3,7,4,3,11,10,10,10,6,11,8,4,9,4,2,4,1,4,0,0,1,13,5,6,2,3,9,3,13,5,2,2,0,0,2,0,0,0,0,0,0,0
45,0,0,0,0,0,1,1,2,1,3,0,0,1,6,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,4,1,0,0,3,0,1,3,0,0,6,0,1,4,5,3,5,3,3,3,1,3,0,5,2,4,2,2,0,1,0,1,0,2,1,1,0,0,2,1,3,2,0,1,0,0,0,0,0,0,0,0,2,0
46,0,0,0,0,0,4,4,1,4,8,2,7,5,2,0,7,0,0,0,0,2,1,0,4,0,2,2,3,1,7,3,0,0,0,2,5,6,4,4,1,3,3,3,2,2,1,1,0,11,6,9,1,6,6,8,7,4,2,4,1,1,0,0,1,3,4,2,2,1,4,3,7,5,2,0,1,0,2,1,2,0,2,0,0,0
47,0,0,0,0,0,3,5,0,2,1,0,3,3,0,0,5,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,2,0,0,1,0,0,1,1,1,4,1,3,2,2,2,3,4,3,3,0,4,3,7,2,4,3,0,0,1,0,0,0,4,1,3,1,2,2,2,7,3,0,1,0,0,1,0,0,0,1,0,0,0
48,0,1,0,0,0,2,3,1,2,1,1,3,4,1,0,5,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,2,1,2,1,0,1,0,0,3,2,1,3,5,2,4,1,7,5,5,2,3,5,2,0,1,0,0,0,4,3,3,0,1,4,5,8,0,0,1,0,2,1,0,0,1,0,0,0,0
49,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,12,3,5,2,1,2,2,0,1,1,4,6,4,8,4,7,3,14,12,13,5,4,5,1,0,0,0,0
50,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,5,2,3,2,0,0,3,2,0,6,0,0,2,1,0,0,0,0,3,1,4,0,1,0,1,5,1,4,3,2,1,2,1,0,0,1,0,2,1,0,0,0,3,10,14,10,4,6,13,7,0,6,12,6,8,15,7,11,13,21,21,11,6,10,10,4,4,0,1,0
